"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Apr 24 23:35:57 GMT 2023","Mon Apr 24 23:36:04 GMT 2023","6729","test","test_conduit","TestConduit","","","Bejelentkezés - Helyes felhasználói adatokkal",""
"passed","Mon Apr 24 23:35:37 GMT 2023","Mon Apr 24 23:35:44 GMT 2023","6146","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elfogadása",""
"broken","Mon Apr 24 23:36:19 GMT 2023","Mon Apr 24 23:36:25 GMT 2023","5322","test","test_conduit","TestConduit","","","Több oldalas lista bejárása",""
"broken","Mon Apr 24 23:36:32 GMT 2023","Mon Apr 24 23:36:37 GMT 2023","5331","test","test_conduit","TestConduit","","","Kommentelés sorozatos adatbeolvasással",""
"passed","Mon Apr 24 23:35:55 GMT 2023","Mon Apr 24 23:35:56 GMT 2023","808","test","test_conduit","TestConduit","","","Regisztráció - Helytelen felhasználói adatokkal",""
"broken","Mon Apr 24 23:36:26 GMT 2023","Mon Apr 24 23:36:31 GMT 2023","5353","test","test_conduit","TestConduit","","","Új poszt közzététele",""
"broken","Mon Apr 24 23:36:13 GMT 2023","Mon Apr 24 23:36:18 GMT 2023","5359","test","test_conduit","TestConduit","","","Posztok listázása",""
"broken","Mon Apr 24 23:36:48 GMT 2023","Mon Apr 24 23:36:53 GMT 2023","5348","test","test_conduit","TestConduit","","","Adatok exportálása",""
"passed","Mon Apr 24 23:36:45 GMT 2023","Mon Apr 24 23:36:47 GMT 2023","2099","test","test_conduit","TestConduit","","","Felhasználónév módosítása",""
"passed","Mon Apr 24 23:36:05 GMT 2023","Mon Apr 24 23:36:05 GMT 2023","253","test","test_conduit","TestConduit","","","Bejelentkezés - Helytelen felhasználói adatokkal",""
"broken","Mon Apr 24 23:36:06 GMT 2023","Mon Apr 24 23:36:12 GMT 2023","5355","test","test_conduit","TestConduit","","","Kijelentkezés",""
"broken","Mon Apr 24 23:36:38 GMT 2023","Mon Apr 24 23:36:44 GMT 2023","5329","test","test_conduit","TestConduit","","","Komment törlése",""
"passed","Mon Apr 24 23:35:45 GMT 2023","Mon Apr 24 23:35:51 GMT 2023","6142","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elutasítása",""
"passed","Mon Apr 24 23:35:52 GMT 2023","Mon Apr 24 23:35:54 GMT 2023","2378","test","test_conduit","TestConduit","","","Regisztráció - Helyes felhasználói adatokkal",""
