"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 26 03:03:11 GMT 2023","Wed Apr 26 03:03:13 GMT 2023","1525","test","test_conduit","TestConduit","","","Több oldalas lista bejárása",""
"passed","Wed Apr 26 03:02:57 GMT 2023","Wed Apr 26 03:02:58 GMT 2023","883","test","test_conduit","TestConduit","","","Bejelentkezés - Helyes felhasználói adatokkal",""
"passed","Wed Apr 26 03:02:36 GMT 2023","Wed Apr 26 03:02:43 GMT 2023","6182","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elfogadása",""
"passed","Wed Apr 26 03:02:55 GMT 2023","Wed Apr 26 03:02:56 GMT 2023","912","test","test_conduit","TestConduit","","","Regisztráció - Helytelen felhasználói adatokkal",""
"passed","Wed Apr 26 03:03:00 GMT 2023","Wed Apr 26 03:03:00 GMT 2023","368","test","test_conduit","TestConduit","","","Bejelentkezés - Helytelen felhasználói adatokkal",""
"passed","Wed Apr 26 03:03:14 GMT 2023","Wed Apr 26 03:03:18 GMT 2023","4245","test","test_conduit","TestConduit","","","Új poszt közzététele",""
"passed","Wed Apr 26 03:03:08 GMT 2023","Wed Apr 26 03:03:10 GMT 2023","1504","test","test_conduit","TestConduit","","","Posztok listázása",""
"passed","Wed Apr 26 03:02:44 GMT 2023","Wed Apr 26 03:02:50 GMT 2023","6170","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elutasítása",""
"passed","Wed Apr 26 03:03:52 GMT 2023","Wed Apr 26 03:03:59 GMT 2023","7414","test","test_conduit","TestConduit","","","Komment törlése",""
"passed","Wed Apr 26 03:02:52 GMT 2023","Wed Apr 26 03:02:54 GMT 2023","2528","test","test_conduit","TestConduit","","","Regisztráció - Helyes felhasználói adatokkal",""
"passed","Wed Apr 26 03:03:01 GMT 2023","Wed Apr 26 03:03:07 GMT 2023","6153","test","test_conduit","TestConduit","","","Kijelentkezés",""
"passed","Wed Apr 26 03:04:04 GMT 2023","Wed Apr 26 03:04:06 GMT 2023","1571","test","test_conduit","TestConduit","","","Adatok exportálása",""
"passed","Wed Apr 26 03:03:19 GMT 2023","Wed Apr 26 03:03:49 GMT 2023","29961","test","test_conduit","TestConduit","","","Kommentelés sorozatos adatbeolvasással",""
"passed","Wed Apr 26 03:04:00 GMT 2023","Wed Apr 26 03:04:03 GMT 2023","2994","test","test_conduit","TestConduit","","","Felhasználónév módosítása",""
