"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 23 12:10:03 GMT 2023","Sun Apr 23 12:10:04 GMT 2023","1004","test","test_conduit","TestConduit","","","Posztok listázása",""
"passed","Sun Apr 23 12:09:52 GMT 2023","Sun Apr 23 12:09:53 GMT 2023","807","test","test_conduit","TestConduit","","","Bejelentkezés - Helyes felhasználói adatokkal",""
"passed","Sun Apr 23 12:09:32 GMT 2023","Sun Apr 23 12:09:38 GMT 2023","6155","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elfogadása",""
"passed","Sun Apr 23 12:10:07 GMT 2023","Sun Apr 23 12:10:10 GMT 2023","3612","test","test_conduit","TestConduit","","","Új poszt közzététele",""
"broken","Sun Apr 23 12:10:11 GMT 2023","Sun Apr 23 12:10:12 GMT 2023","862","test","test_conduit","TestConduit","","","Kommentelés sorozatos adatbeolvasással",""
"passed","Sun Apr 23 12:09:56 GMT 2023","Sun Apr 23 12:10:02 GMT 2023","6002","test","test_conduit","TestConduit","","","Kijelentkezés",""
"passed","Sun Apr 23 12:09:47 GMT 2023","Sun Apr 23 12:09:49 GMT 2023","2400","test","test_conduit","TestConduit","","","Regisztráció - Helyes felhasználói adatokkal",""
"passed","Sun Apr 23 12:09:54 GMT 2023","Sun Apr 23 12:09:55 GMT 2023","775","test","test_conduit","TestConduit","","","Bejelentkezés - Helytelen felhasználói adatokkal",""
"passed","Sun Apr 23 12:09:39 GMT 2023","Sun Apr 23 12:09:46 GMT 2023","6144","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elutasítása",""
"passed","Sun Apr 23 12:10:05 GMT 2023","Sun Apr 23 12:10:06 GMT 2023","994","test","test_conduit","TestConduit","","","Több oldalas lista bejárása",""
"passed","Sun Apr 23 12:09:50 GMT 2023","Sun Apr 23 12:09:51 GMT 2023","823","test","test_conduit","TestConduit","","","Regisztráció - Helytelen felhasználói adatokkal",""
