"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Apr 23 21:19:25 GMT 2023","Sun Apr 23 21:19:30 GMT 2023","5367","test","test_conduit","TestConduit","","","Új poszt közzététele",""
"broken","Sun Apr 23 21:19:19 GMT 2023","Sun Apr 23 21:19:24 GMT 2023","5331","test","test_conduit","TestConduit","","","Több oldalas lista bejárása",""
"passed","Sun Apr 23 21:18:55 GMT 2023","Sun Apr 23 21:18:56 GMT 2023","819","test","test_conduit","TestConduit","","","Regisztráció - Helytelen felhasználói adatokkal",""
"failed","Sun Apr 23 21:18:57 GMT 2023","Sun Apr 23 21:19:03 GMT 2023","5766","test","test_conduit","TestConduit","","","Bejelentkezés - Helyes felhasználói adatokkal",""
"broken","Sun Apr 23 21:19:12 GMT 2023","Sun Apr 23 21:19:17 GMT 2023","5352","test","test_conduit","TestConduit","","","Posztok listázása",""
"passed","Sun Apr 23 21:18:51 GMT 2023","Sun Apr 23 21:18:54 GMT 2023","2438","test","test_conduit","TestConduit","","","Regisztráció - Helyes felhasználói adatokkal",""
"passed","Sun Apr 23 21:18:44 GMT 2023","Sun Apr 23 21:18:50 GMT 2023","6148","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elutasítása",""
"passed","Sun Apr 23 21:19:04 GMT 2023","Sun Apr 23 21:19:05 GMT 2023","765","test","test_conduit","TestConduit","","","Bejelentkezés - Helytelen felhasználói adatokkal",""
"broken","Sun Apr 23 21:19:32 GMT 2023","Sun Apr 23 21:19:37 GMT 2023","5343","test","test_conduit","TestConduit","","","Kommentelés sorozatos adatbeolvasással",""
"broken","Sun Apr 23 21:19:06 GMT 2023","Sun Apr 23 21:19:11 GMT 2023","5351","test","test_conduit","TestConduit","","","Kijelentkezés",""
"passed","Sun Apr 23 21:19:45 GMT 2023","Sun Apr 23 21:19:47 GMT 2023","2125","test","test_conduit","TestConduit","","","Felhasználónév módosítása",""
"broken","Sun Apr 23 21:19:38 GMT 2023","Sun Apr 23 21:19:43 GMT 2023","5330","test","test_conduit","TestConduit","","","Komment törlése",""
"passed","Sun Apr 23 21:18:37 GMT 2023","Sun Apr 23 21:18:43 GMT 2023","6173","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elfogadása",""
"broken","Sun Apr 23 21:19:48 GMT 2023","Sun Apr 23 21:19:53 GMT 2023","5345","test","test_conduit","TestConduit","","","Adatok exportálása",""
