"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 23 21:57:31 GMT 2023","Sun Apr 23 21:57:33 GMT 2023","2641","test","test_conduit","TestConduit","","","Felhasználónév módosítása",""
"passed","Sun Apr 23 21:56:38 GMT 2023","Sun Apr 23 21:56:44 GMT 2023","5919","test","test_conduit","TestConduit","","","Kijelentkezés",""
"passed","Sun Apr 23 21:56:27 GMT 2023","Sun Apr 23 21:56:27 GMT 2023","817","test","test_conduit","TestConduit","","","Regisztráció - Helytelen felhasználói adatokkal",""
"broken","Sun Apr 23 21:56:28 GMT 2023","Sun Apr 23 21:56:36 GMT 2023","7503","test","test_conduit","TestConduit","","","Bejelentkezés - Helyes felhasználói adatokkal",""
"passed","Sun Apr 23 21:56:23 GMT 2023","Sun Apr 23 21:56:25 GMT 2023","2483","test","test_conduit","TestConduit","","","Regisztráció - Helyes felhasználói adatokkal",""
"passed","Sun Apr 23 21:56:46 GMT 2023","Sun Apr 23 21:56:46 GMT 2023","932","test","test_conduit","TestConduit","","","Posztok listázása",""
"passed","Sun Apr 23 21:56:16 GMT 2023","Sun Apr 23 21:56:22 GMT 2023","6142","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elutasítása",""
"passed","Sun Apr 23 21:57:23 GMT 2023","Sun Apr 23 21:57:30 GMT 2023","6740","test","test_conduit","TestConduit","","","Komment törlése",""
"passed","Sun Apr 23 21:56:50 GMT 2023","Sun Apr 23 21:56:53 GMT 2023","3719","test","test_conduit","TestConduit","","","Új poszt közzététele",""
"passed","Sun Apr 23 21:56:54 GMT 2023","Sun Apr 23 21:57:22 GMT 2023","27315","test","test_conduit","TestConduit","","","Kommentelés sorozatos adatbeolvasással",""
"passed","Sun Apr 23 21:57:34 GMT 2023","Sun Apr 23 21:57:35 GMT 2023","939","test","test_conduit","TestConduit","","","Adatok exportálása",""
"passed","Sun Apr 23 21:56:48 GMT 2023","Sun Apr 23 21:56:48 GMT 2023","929","test","test_conduit","TestConduit","","","Több oldalas lista bejárása",""
"passed","Sun Apr 23 21:56:37 GMT 2023","Sun Apr 23 21:56:37 GMT 2023","262","test","test_conduit","TestConduit","","","Bejelentkezés - Helytelen felhasználói adatokkal",""
"passed","Sun Apr 23 21:56:08 GMT 2023","Sun Apr 23 21:56:15 GMT 2023","6161","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elfogadása",""
