"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 25 00:37:55 GMT 2023","Tue Apr 25 00:38:01 GMT 2023","5329","test","test_conduit","TestConduit","","","Új poszt közzététele",""
"passed","Tue Apr 25 00:37:32 GMT 2023","Tue Apr 25 00:37:33 GMT 2023","783","test","test_conduit","TestConduit","","","Bejelentkezés - Helyes felhasználói adatokkal",""
"passed","Tue Apr 25 00:37:34 GMT 2023","Tue Apr 25 00:37:35 GMT 2023","765","test","test_conduit","TestConduit","","","Bejelentkezés - Helytelen felhasználói adatokkal",""
"passed","Tue Apr 25 00:37:12 GMT 2023","Tue Apr 25 00:37:18 GMT 2023","6456","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elfogadása",""
"passed","Tue Apr 25 00:37:27 GMT 2023","Tue Apr 25 00:37:30 GMT 2023","2990","test","test_conduit","TestConduit","","","Regisztráció - Helyes felhasználói adatokkal",""
"passed","Tue Apr 25 00:38:15 GMT 2023","Tue Apr 25 00:38:16 GMT 2023","1661","test","test_conduit","TestConduit","","","Felhasználónév módosítása",""
"broken","Tue Apr 25 00:38:17 GMT 2023","Tue Apr 25 00:38:23 GMT 2023","5310","test","test_conduit","TestConduit","","","Adatok exportálása",""
"broken","Tue Apr 25 00:37:36 GMT 2023","Tue Apr 25 00:37:41 GMT 2023","5319","test","test_conduit","TestConduit","","","Kijelentkezés",""
"broken","Tue Apr 25 00:37:49 GMT 2023","Tue Apr 25 00:37:54 GMT 2023","5298","test","test_conduit","TestConduit","","","Több oldalas lista bejárása",""
"broken","Tue Apr 25 00:38:02 GMT 2023","Tue Apr 25 00:38:07 GMT 2023","5304","test","test_conduit","TestConduit","","","Kommentelés sorozatos adatbeolvasással",""
"passed","Tue Apr 25 00:37:19 GMT 2023","Tue Apr 25 00:37:25 GMT 2023","6124","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elutasítása",""
"broken","Tue Apr 25 00:37:43 GMT 2023","Tue Apr 25 00:37:48 GMT 2023","5323","test","test_conduit","TestConduit","","","Posztok listázása",""
"passed","Tue Apr 25 00:37:31 GMT 2023","Tue Apr 25 00:37:31 GMT 2023","793","test","test_conduit","TestConduit","","","Regisztráció - Helytelen felhasználói adatokkal",""
"broken","Tue Apr 25 00:38:08 GMT 2023","Tue Apr 25 00:38:14 GMT 2023","5300","test","test_conduit","TestConduit","","","Komment törlése",""
