"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 25 00:29:03 GMT 2023","Tue Apr 25 00:29:05 GMT 2023","2520","test","test_conduit","TestConduit","","","Regisztráció - Helyes felhasználói adatokkal",""
"broken","Tue Apr 25 00:30:01 GMT 2023","Tue Apr 25 00:30:07 GMT 2023","5357","test","test_conduit","TestConduit","","","Adatok exportálása",""
"broken","Tue Apr 25 00:29:31 GMT 2023","Tue Apr 25 00:29:37 GMT 2023","5344","test","test_conduit","TestConduit","","","Több oldalas lista bejárása",""
"failed","Tue Apr 25 00:29:09 GMT 2023","Tue Apr 25 00:29:15 GMT 2023","6769","test","test_conduit","TestConduit","","","Bejelentkezés - Helyes felhasználói adatokkal",""
"broken","Tue Apr 25 00:29:25 GMT 2023","Tue Apr 25 00:29:30 GMT 2023","5365","test","test_conduit","TestConduit","","","Posztok listázása",""
"broken","Tue Apr 25 00:29:44 GMT 2023","Tue Apr 25 00:29:50 GMT 2023","5339","test","test_conduit","TestConduit","","","Kommentelés sorozatos adatbeolvasással",""
"passed","Tue Apr 25 00:29:57 GMT 2023","Tue Apr 25 00:30:00 GMT 2023","2621","test","test_conduit","TestConduit","","","Felhasználónév módosítása",""
"broken","Tue Apr 25 00:29:38 GMT 2023","Tue Apr 25 00:29:43 GMT 2023","5375","test","test_conduit","TestConduit","","","Új poszt közzététele",""
"passed","Tue Apr 25 00:29:16 GMT 2023","Tue Apr 25 00:29:17 GMT 2023","781","test","test_conduit","TestConduit","","","Bejelentkezés - Helytelen felhasználói adatokkal",""
"broken","Tue Apr 25 00:29:51 GMT 2023","Tue Apr 25 00:29:56 GMT 2023","5342","test","test_conduit","TestConduit","","","Komment törlése",""
"passed","Tue Apr 25 00:28:56 GMT 2023","Tue Apr 25 00:29:02 GMT 2023","6143","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elutasítása",""
"broken","Tue Apr 25 00:29:18 GMT 2023","Tue Apr 25 00:29:24 GMT 2023","5366","test","test_conduit","TestConduit","","","Kijelentkezés",""
"passed","Tue Apr 25 00:29:07 GMT 2023","Tue Apr 25 00:29:07 GMT 2023","827","test","test_conduit","TestConduit","","","Regisztráció - Helytelen felhasználói adatokkal",""
"passed","Tue Apr 25 00:28:48 GMT 2023","Tue Apr 25 00:28:54 GMT 2023","6250","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elfogadása",""
