"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 23 00:39:25 GMT 2023","Sun Apr 23 00:39:26 GMT 2023","946","test","test_conduit","TestConduit","","","Több oldalas lista bejárása",""
"passed","Sun Apr 23 00:39:13 GMT 2023","Sun Apr 23 00:39:14 GMT 2023","785","test","test_conduit","TestConduit","","","Bejelentkezés - Helyes felhasználói adatokkal",""
"passed","Sun Apr 23 00:38:53 GMT 2023","Sun Apr 23 00:38:59 GMT 2023","6269","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elfogadása",""
"passed","Sun Apr 23 00:39:01 GMT 2023","Sun Apr 23 00:39:07 GMT 2023","6139","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elutasítása",""
"passed","Sun Apr 23 00:39:16 GMT 2023","Sun Apr 23 00:39:22 GMT 2023","5958","test","test_conduit","TestConduit","","","Kijelentkezés",""
"passed","Sun Apr 23 00:39:11 GMT 2023","Sun Apr 23 00:39:12 GMT 2023","825","test","test_conduit","TestConduit","","","Regisztráció - Helytelen felhasználói adatokkal",""
"passed","Sun Apr 23 00:39:08 GMT 2023","Sun Apr 23 00:39:10 GMT 2023","2611","test","test_conduit","TestConduit","","","Regisztráció - Helyes felhasználói adatokkal",""
"passed","Sun Apr 23 00:39:23 GMT 2023","Sun Apr 23 00:39:24 GMT 2023","928","test","test_conduit","TestConduit","","","Posztok listázása",""
"passed","Sun Apr 23 00:39:15 GMT 2023","Sun Apr 23 00:39:15 GMT 2023","272","test","test_conduit","TestConduit","","","Bejelentkezés - Helytelen felhasználói adatokkal",""
"broken","Sun Apr 23 00:39:27 GMT 2023","Sun Apr 23 00:39:28 GMT 2023","951","test","test_conduit","TestConduit","","","Új poszt közzététele",""
