"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 25 00:55:14 GMT 2023","Tue Apr 25 00:55:16 GMT 2023","1660","test","test_conduit","TestConduit","","","Felhasználónév módosítása",""
"passed","Tue Apr 25 00:54:33 GMT 2023","Tue Apr 25 00:54:34 GMT 2023","775","test","test_conduit","TestConduit","","","Bejelentkezés - Helytelen felhasználói adatokkal",""
"passed","Tue Apr 25 00:54:26 GMT 2023","Tue Apr 25 00:54:29 GMT 2023","2389","test","test_conduit","TestConduit","","","Regisztráció - Helyes felhasználói adatokkal",""
"broken","Tue Apr 25 00:54:42 GMT 2023","Tue Apr 25 00:54:47 GMT 2023","5352","test","test_conduit","TestConduit","","","Posztok listázása",""
"broken","Tue Apr 25 00:54:55 GMT 2023","Tue Apr 25 00:55:00 GMT 2023","5365","test","test_conduit","TestConduit","","","Új poszt közzététele",""
"broken","Tue Apr 25 00:55:08 GMT 2023","Tue Apr 25 00:55:13 GMT 2023","5337","test","test_conduit","TestConduit","","","Komment törlése",""
"broken","Tue Apr 25 00:55:01 GMT 2023","Tue Apr 25 00:55:07 GMT 2023","5349","test","test_conduit","TestConduit","","","Kommentelés sorozatos adatbeolvasással",""
"passed","Tue Apr 25 00:54:19 GMT 2023","Tue Apr 25 00:54:25 GMT 2023","6141","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elutasítása",""
"passed","Tue Apr 25 00:54:30 GMT 2023","Tue Apr 25 00:54:30 GMT 2023","814","test","test_conduit","TestConduit","","","Regisztráció - Helytelen felhasználói adatokkal",""
"broken","Tue Apr 25 00:54:35 GMT 2023","Tue Apr 25 00:54:41 GMT 2023","5354","test","test_conduit","TestConduit","","","Kijelentkezés",""
"broken","Tue Apr 25 00:54:48 GMT 2023","Tue Apr 25 00:54:54 GMT 2023","5338","test","test_conduit","TestConduit","","","Több oldalas lista bejárása",""
"broken","Tue Apr 25 00:55:17 GMT 2023","Tue Apr 25 00:55:22 GMT 2023","5346","test","test_conduit","TestConduit","","","Adatok exportálása",""
"passed","Tue Apr 25 00:54:12 GMT 2023","Tue Apr 25 00:54:18 GMT 2023","6162","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elfogadása",""
"passed","Tue Apr 25 00:54:32 GMT 2023","Tue Apr 25 00:54:32 GMT 2023","785","test","test_conduit","TestConduit","","","Bejelentkezés - Helyes felhasználói adatokkal",""
