"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 24 19:32:30 GMT 2023","Mon Apr 24 19:32:37 GMT 2023","7126","test","test_conduit","TestConduit","","","Komment törlése",""
"passed","Mon Apr 24 19:31:58 GMT 2023","Mon Apr 24 19:32:01 GMT 2023","3425","test","test_conduit","TestConduit","","","Új poszt közzététele",""
"passed","Mon Apr 24 19:31:29 GMT 2023","Mon Apr 24 19:31:30 GMT 2023","803","test","test_conduit","TestConduit","","","Regisztráció - Helytelen felhasználói adatokkal",""
"passed","Mon Apr 24 19:31:46 GMT 2023","Mon Apr 24 19:31:52 GMT 2023","5919","test","test_conduit","TestConduit","","","Kijelentkezés",""
"broken","Mon Apr 24 19:31:31 GMT 2023","Mon Apr 24 19:31:44 GMT 2023","12535","test","test_conduit","TestConduit","","","Bejelentkezés - Helyes felhasználói adatokkal",""
"passed","Mon Apr 24 19:32:02 GMT 2023","Mon Apr 24 19:32:29 GMT 2023","27130","test","test_conduit","TestConduit","","","Kommentelés sorozatos adatbeolvasással",""
"passed","Mon Apr 24 19:31:26 GMT 2023","Mon Apr 24 19:31:28 GMT 2023","2360","test","test_conduit","TestConduit","","","Regisztráció - Helyes felhasználói adatokkal",""
"passed","Mon Apr 24 19:31:53 GMT 2023","Mon Apr 24 19:31:54 GMT 2023","931","test","test_conduit","TestConduit","","","Posztok listázása",""
"passed","Mon Apr 24 19:31:11 GMT 2023","Mon Apr 24 19:31:17 GMT 2023","6129","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elfogadása",""
"passed","Mon Apr 24 19:32:39 GMT 2023","Mon Apr 24 19:32:40 GMT 2023","1631","test","test_conduit","TestConduit","","","Felhasználónév módosítása",""
"passed","Mon Apr 24 19:31:45 GMT 2023","Mon Apr 24 19:31:45 GMT 2023","251","test","test_conduit","TestConduit","","","Bejelentkezés - Helytelen felhasználói adatokkal",""
"passed","Mon Apr 24 19:31:19 GMT 2023","Mon Apr 24 19:31:25 GMT 2023","6123","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elutasítása",""
"passed","Mon Apr 24 19:32:41 GMT 2023","Mon Apr 24 19:32:42 GMT 2023","929","test","test_conduit","TestConduit","","","Adatok exportálása",""
"passed","Mon Apr 24 19:31:55 GMT 2023","Mon Apr 24 19:31:57 GMT 2023","1372","test","test_conduit","TestConduit","","","Több oldalas lista bejárása",""
