"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 24 23:24:01 GMT 2023","Mon Apr 24 23:24:07 GMT 2023","6213","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elfogadása",""
"broken","Mon Apr 24 23:24:36 GMT 2023","Mon Apr 24 23:24:41 GMT 2023","5368","test","test_conduit","TestConduit","","","Posztok listázása",""
"broken","Mon Apr 24 23:24:42 GMT 2023","Mon Apr 24 23:24:48 GMT 2023","5341","test","test_conduit","TestConduit","","","Több oldalas lista bejárása",""
"passed","Mon Apr 24 23:25:08 GMT 2023","Mon Apr 24 23:25:10 GMT 2023","1654","test","test_conduit","TestConduit","","","Felhasználónév módosítása",""
"passed","Mon Apr 24 23:24:28 GMT 2023","Mon Apr 24 23:24:28 GMT 2023","268","test","test_conduit","TestConduit","","","Bejelentkezés - Helytelen felhasználói adatokkal",""
"passed","Mon Apr 24 23:24:08 GMT 2023","Mon Apr 24 23:24:14 GMT 2023","6139","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elutasítása",""
"broken","Mon Apr 24 23:24:55 GMT 2023","Mon Apr 24 23:25:01 GMT 2023","5332","test","test_conduit","TestConduit","","","Kommentelés sorozatos adatbeolvasással",""
"broken","Mon Apr 24 23:25:02 GMT 2023","Mon Apr 24 23:25:07 GMT 2023","5336","test","test_conduit","TestConduit","","","Komment törlése",""
"broken","Mon Apr 24 23:25:11 GMT 2023","Mon Apr 24 23:25:16 GMT 2023","5346","test","test_conduit","TestConduit","","","Adatok exportálása",""
"broken","Mon Apr 24 23:24:29 GMT 2023","Mon Apr 24 23:24:35 GMT 2023","5363","test","test_conduit","TestConduit","","","Kijelentkezés",""
"failed","Mon Apr 24 23:24:21 GMT 2023","Mon Apr 24 23:24:27 GMT 2023","5774","test","test_conduit","TestConduit","","","Bejelentkezés - Helyes felhasználói adatokkal",""
"broken","Mon Apr 24 23:24:49 GMT 2023","Mon Apr 24 23:24:54 GMT 2023","5362","test","test_conduit","TestConduit","","","Új poszt közzététele",""
"passed","Mon Apr 24 23:24:16 GMT 2023","Mon Apr 24 23:24:18 GMT 2023","2446","test","test_conduit","TestConduit","","","Regisztráció - Helyes felhasználói adatokkal",""
"passed","Mon Apr 24 23:24:19 GMT 2023","Mon Apr 24 23:24:20 GMT 2023","824","test","test_conduit","TestConduit","","","Regisztráció - Helytelen felhasználói adatokkal",""
