"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 25 00:53:31 GMT 2023","Tue Apr 25 00:53:36 GMT 2023","5353","test","test_conduit","TestConduit","","","Adatok exportálása",""
"passed","Tue Apr 25 00:53:28 GMT 2023","Tue Apr 25 00:53:30 GMT 2023","2182","test","test_conduit","TestConduit","","","Felhasználónév módosítása",""
"broken","Tue Apr 25 00:53:08 GMT 2023","Tue Apr 25 00:53:14 GMT 2023","5357","test","test_conduit","TestConduit","","","Új poszt közzététele",""
"passed","Tue Apr 25 00:52:32 GMT 2023","Tue Apr 25 00:52:39 GMT 2023","6146","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elutasítása",""
"broken","Tue Apr 25 00:52:55 GMT 2023","Tue Apr 25 00:53:01 GMT 2023","5382","test","test_conduit","TestConduit","","","Posztok listázása",""
"broken","Tue Apr 25 00:52:49 GMT 2023","Tue Apr 25 00:52:54 GMT 2023","5357","test","test_conduit","TestConduit","","","Kijelentkezés",""
"broken","Tue Apr 25 00:53:02 GMT 2023","Tue Apr 25 00:53:07 GMT 2023","5345","test","test_conduit","TestConduit","","","Több oldalas lista bejárása",""
"passed","Tue Apr 25 00:52:40 GMT 2023","Tue Apr 25 00:52:43 GMT 2023","2831","test","test_conduit","TestConduit","","","Regisztráció - Helyes felhasználói adatokkal",""
"passed","Tue Apr 25 00:52:47 GMT 2023","Tue Apr 25 00:52:48 GMT 2023","291","test","test_conduit","TestConduit","","","Bejelentkezés - Helytelen felhasználói adatokkal",""
"broken","Tue Apr 25 00:53:15 GMT 2023","Tue Apr 25 00:53:20 GMT 2023","5363","test","test_conduit","TestConduit","","","Kommentelés sorozatos adatbeolvasással",""
"passed","Tue Apr 25 00:52:46 GMT 2023","Tue Apr 25 00:52:46 GMT 2023","791","test","test_conduit","TestConduit","","","Bejelentkezés - Helyes felhasználói adatokkal",""
"broken","Tue Apr 25 00:53:21 GMT 2023","Tue Apr 25 00:53:26 GMT 2023","5346","test","test_conduit","TestConduit","","","Komment törlése",""
"passed","Tue Apr 25 00:52:25 GMT 2023","Tue Apr 25 00:52:31 GMT 2023","6331","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elfogadása",""
"passed","Tue Apr 25 00:52:44 GMT 2023","Tue Apr 25 00:52:44 GMT 2023","827","test","test_conduit","TestConduit","","","Regisztráció - Helytelen felhasználói adatokkal",""
