"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 25 01:19:30 GMT 2023","Tue Apr 25 01:19:31 GMT 2023","846","test","test_conduit","TestConduit","","","Posztok listázása",""
"passed","Tue Apr 25 01:20:17 GMT 2023","Tue Apr 25 01:20:19 GMT 2023","1388","test","test_conduit","TestConduit","","","Adatok exportálása",""
"passed","Tue Apr 25 01:19:08 GMT 2023","Tue Apr 25 01:19:14 GMT 2023","6124","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elutasítása",""
"passed","Tue Apr 25 01:19:35 GMT 2023","Tue Apr 25 01:19:37 GMT 2023","2649","test","test_conduit","TestConduit","","","Új poszt közzététele",""
"passed","Tue Apr 25 01:19:23 GMT 2023","Tue Apr 25 01:19:29 GMT 2023","5925","test","test_conduit","TestConduit","","","Kijelentkezés",""
"passed","Tue Apr 25 01:19:15 GMT 2023","Tue Apr 25 01:19:17 GMT 2023","2361","test","test_conduit","TestConduit","","","Regisztráció - Helyes felhasználói adatokkal",""
"passed","Tue Apr 25 01:19:38 GMT 2023","Tue Apr 25 01:20:05 GMT 2023","27020","test","test_conduit","TestConduit","","","Kommentelés sorozatos adatbeolvasással",""
"passed","Tue Apr 25 01:20:15 GMT 2023","Tue Apr 25 01:20:16 GMT 2023","1620","test","test_conduit","TestConduit","","","Felhasználónév módosítása",""
"passed","Tue Apr 25 01:19:20 GMT 2023","Tue Apr 25 01:19:21 GMT 2023","749","test","test_conduit","TestConduit","","","Bejelentkezés - Helyes felhasználói adatokkal",""
"passed","Tue Apr 25 01:19:00 GMT 2023","Tue Apr 25 01:19:06 GMT 2023","6131","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elfogadása",""
"passed","Tue Apr 25 01:19:18 GMT 2023","Tue Apr 25 01:19:19 GMT 2023","798","test","test_conduit","TestConduit","","","Regisztráció - Helytelen felhasználói adatokkal",""
"passed","Tue Apr 25 01:19:22 GMT 2023","Tue Apr 25 01:19:22 GMT 2023","250","test","test_conduit","TestConduit","","","Bejelentkezés - Helytelen felhasználói adatokkal",""
"passed","Tue Apr 25 01:19:32 GMT 2023","Tue Apr 25 01:19:34 GMT 2023","1370","test","test_conduit","TestConduit","","","Több oldalas lista bejárása",""
"passed","Tue Apr 25 01:20:07 GMT 2023","Tue Apr 25 01:20:14 GMT 2023","7046","test","test_conduit","TestConduit","","","Komment törlése",""
