"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 23 21:41:08 GMT 2023","Sun Apr 23 21:41:09 GMT 2023","793","test","test_conduit","TestConduit","","","Regisztráció - Helytelen felhasználói adatokkal",""
"passed","Sun Apr 23 21:41:29 GMT 2023","Sun Apr 23 21:41:30 GMT 2023","1420","test","test_conduit","TestConduit","","","Több oldalas lista bejárása",""
"passed","Sun Apr 23 21:42:04 GMT 2023","Sun Apr 23 21:42:11 GMT 2023","7044","test","test_conduit","TestConduit","","","Komment törlése",""
"passed","Sun Apr 23 21:42:12 GMT 2023","Sun Apr 23 21:42:14 GMT 2023","2117","test","test_conduit","TestConduit","","","Felhasználónév módosítása",""
"passed","Sun Apr 23 21:41:20 GMT 2023","Sun Apr 23 21:41:26 GMT 2023","5927","test","test_conduit","TestConduit","","","Kijelentkezés",""
"passed","Sun Apr 23 21:41:36 GMT 2023","Sun Apr 23 21:42:03 GMT 2023","27214","test","test_conduit","TestConduit","","","Kommentelés sorozatos adatbeolvasással",""
"passed","Sun Apr 23 21:40:50 GMT 2023","Sun Apr 23 21:40:56 GMT 2023","6128","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elfogadása",""
"passed","Sun Apr 23 21:41:18 GMT 2023","Sun Apr 23 21:41:19 GMT 2023","249","test","test_conduit","TestConduit","","","Bejelentkezés - Helytelen felhasználói adatokkal",""
"passed","Sun Apr 23 21:41:04 GMT 2023","Sun Apr 23 21:41:07 GMT 2023","2361","test","test_conduit","TestConduit","","","Regisztráció - Helyes felhasználói adatokkal",""
"passed","Sun Apr 23 21:41:31 GMT 2023","Sun Apr 23 21:41:35 GMT 2023","3463","test","test_conduit","TestConduit","","","Új poszt közzététele",""
"broken","Sun Apr 23 21:41:10 GMT 2023","Sun Apr 23 21:41:17 GMT 2023","7458","test","test_conduit","TestConduit","","","Bejelentkezés - Helyes felhasználói adatokkal",""
"passed","Sun Apr 23 21:40:57 GMT 2023","Sun Apr 23 21:41:03 GMT 2023","6123","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elutasítása",""
"passed","Sun Apr 23 21:42:15 GMT 2023","Sun Apr 23 21:42:16 GMT 2023","933","test","test_conduit","TestConduit","","","Adatok exportálása",""
"passed","Sun Apr 23 21:41:27 GMT 2023","Sun Apr 23 21:41:28 GMT 2023","948","test","test_conduit","TestConduit","","","Posztok listázása",""
