"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 25 00:15:58 GMT 2023","Tue Apr 25 00:16:00 GMT 2023","2102","test","test_conduit","TestConduit","","","Felhasználónév módosítása",""
"broken","Tue Apr 25 00:15:20 GMT 2023","Tue Apr 25 00:15:25 GMT 2023","5325","test","test_conduit","TestConduit","","","Kijelentkezés",""
"passed","Tue Apr 25 00:15:05 GMT 2023","Tue Apr 25 00:15:08 GMT 2023","2565","test","test_conduit","TestConduit","","","Regisztráció - Helyes felhasználói adatokkal",""
"broken","Tue Apr 25 00:15:52 GMT 2023","Tue Apr 25 00:15:57 GMT 2023","5313","test","test_conduit","TestConduit","","","Komment törlése",""
"passed","Tue Apr 25 00:15:18 GMT 2023","Tue Apr 25 00:15:19 GMT 2023","246","test","test_conduit","TestConduit","","","Bejelentkezés - Helytelen felhasználói adatokkal",""
"broken","Tue Apr 25 00:15:45 GMT 2023","Tue Apr 25 00:15:51 GMT 2023","5324","test","test_conduit","TestConduit","","","Kommentelés sorozatos adatbeolvasással",""
"broken","Tue Apr 25 00:15:39 GMT 2023","Tue Apr 25 00:15:44 GMT 2023","5335","test","test_conduit","TestConduit","","","Új poszt közzététele",""
"broken","Tue Apr 25 00:15:33 GMT 2023","Tue Apr 25 00:15:38 GMT 2023","5350","test","test_conduit","TestConduit","","","Több oldalas lista bejárása",""
"passed","Tue Apr 25 00:14:50 GMT 2023","Tue Apr 25 00:14:57 GMT 2023","6232","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elfogadása",""
"passed","Tue Apr 25 00:15:09 GMT 2023","Tue Apr 25 00:15:10 GMT 2023","798","test","test_conduit","TestConduit","","","Regisztráció - Helytelen felhasználói adatokkal",""
"passed","Tue Apr 25 00:14:58 GMT 2023","Tue Apr 25 00:15:04 GMT 2023","6123","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elutasítása",""
"broken","Tue Apr 25 00:15:26 GMT 2023","Tue Apr 25 00:15:32 GMT 2023","5320","test","test_conduit","TestConduit","","","Posztok listázása",""
"broken","Tue Apr 25 00:16:02 GMT 2023","Tue Apr 25 00:16:07 GMT 2023","5313","test","test_conduit","TestConduit","","","Adatok exportálása",""
"failed","Tue Apr 25 00:15:11 GMT 2023","Tue Apr 25 00:15:17 GMT 2023","6711","test","test_conduit","TestConduit","","","Bejelentkezés - Helyes felhasználói adatokkal",""
