"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 25 01:12:24 GMT 2023","Tue Apr 25 01:12:30 GMT 2023","6000","test","test_conduit","TestConduit","","","Kijelentkezés",""
"passed","Tue Apr 25 01:12:21 GMT 2023","Tue Apr 25 01:12:21 GMT 2023","796","test","test_conduit","TestConduit","","","Bejelentkezés - Helyes felhasználói adatokkal",""
"passed","Tue Apr 25 01:12:36 GMT 2023","Tue Apr 25 01:12:39 GMT 2023","3153","test","test_conduit","TestConduit","","","Új poszt közzététele",""
"passed","Tue Apr 25 01:12:55 GMT 2023","Tue Apr 25 01:13:02 GMT 2023","7201","test","test_conduit","TestConduit","","","Komment törlése",""
"passed","Tue Apr 25 01:13:03 GMT 2023","Tue Apr 25 01:13:06 GMT 2023","2599","test","test_conduit","TestConduit","","","Felhasználónév módosítása",""
"passed","Tue Apr 25 01:12:31 GMT 2023","Tue Apr 25 01:12:32 GMT 2023","954","test","test_conduit","TestConduit","","","Posztok listázása",""
"failed","Tue Apr 25 01:12:40 GMT 2023","Tue Apr 25 01:12:54 GMT 2023","13347","test","test_conduit","TestConduit","","","Kommentelés sorozatos adatbeolvasással",""
"passed","Tue Apr 25 01:12:07 GMT 2023","Tue Apr 25 01:12:13 GMT 2023","6213","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elutasítása",""
"passed","Tue Apr 25 01:12:23 GMT 2023","Tue Apr 25 01:12:23 GMT 2023","285","test","test_conduit","TestConduit","","","Bejelentkezés - Helytelen felhasználói adatokkal",""
"passed","Tue Apr 25 01:13:07 GMT 2023","Tue Apr 25 01:13:08 GMT 2023","1447","test","test_conduit","TestConduit","","","Adatok exportálása",""
"passed","Tue Apr 25 01:12:33 GMT 2023","Tue Apr 25 01:12:35 GMT 2023","1457","test","test_conduit","TestConduit","","","Több oldalas lista bejárása",""
"passed","Tue Apr 25 01:12:15 GMT 2023","Tue Apr 25 01:12:18 GMT 2023","2908","test","test_conduit","TestConduit","","","Regisztráció - Helyes felhasználói adatokkal",""
"passed","Tue Apr 25 01:12:00 GMT 2023","Tue Apr 25 01:12:06 GMT 2023","6335","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elfogadása",""
"passed","Tue Apr 25 01:12:19 GMT 2023","Tue Apr 25 01:12:20 GMT 2023","839","test","test_conduit","TestConduit","","","Regisztráció - Helytelen felhasználói adatokkal",""
