"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 22 23:38:47 GMT 2023","Sat Apr 22 23:38:49 GMT 2023","1551","test","test_conduit","TestConduit","","","Több oldalas lista bejárása",""
"passed","Sat Apr 22 23:38:35 GMT 2023","Sat Apr 22 23:38:36 GMT 2023","840","test","test_conduit","TestConduit","","","Bejelentkezés - Helyes felhasználói adatokkal",""
"passed","Sat Apr 22 23:38:14 GMT 2023","Sat Apr 22 23:38:21 GMT 2023","6246","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elfogadása",""
"passed","Sat Apr 22 23:38:33 GMT 2023","Sat Apr 22 23:38:34 GMT 2023","896","test","test_conduit","TestConduit","","","Regisztráció - Helytelen felhasználói adatokkal",""
"broken","Sat Apr 22 23:38:45 GMT 2023","Sat Apr 22 23:38:46 GMT 2023","1000","test","test_conduit","TestConduit","","","Posztok listázása",""
"passed","Sat Apr 22 23:38:22 GMT 2023","Sat Apr 22 23:38:28 GMT 2023","6155","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elutasítása",""
"passed","Sat Apr 22 23:38:38 GMT 2023","Sat Apr 22 23:38:44 GMT 2023","6118","test","test_conduit","TestConduit","","","Kijelentkezés",""
"passed","Sat Apr 22 23:38:29 GMT 2023","Sat Apr 22 23:38:32 GMT 2023","2633","test","test_conduit","TestConduit","","","Regisztráció - Helyes felhasználói adatokkal",""
"passed","Sat Apr 22 23:38:37 GMT 2023","Sat Apr 22 23:38:37 GMT 2023","309","test","test_conduit","TestConduit","","","Bejelentkezés - Helytelen felhasználói adatokkal",""
