"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Apr 23 16:03:03 GMT 2023","Sun Apr 23 16:03:04 GMT 2023","823","test","test_conduit","TestConduit","","","Kommentelés sorozatos adatbeolvasással",""
"passed","Sun Apr 23 16:02:47 GMT 2023","Sun Apr 23 16:02:53 GMT 2023","5935","test","test_conduit","TestConduit","","","Kijelentkezés",""
"passed","Sun Apr 23 16:02:31 GMT 2023","Sun Apr 23 16:02:37 GMT 2023","6141","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elutasítása",""
"passed","Sun Apr 23 16:02:46 GMT 2023","Sun Apr 23 16:02:46 GMT 2023","780","test","test_conduit","TestConduit","","","Bejelentkezés - Helytelen felhasználói adatokkal",""
"passed","Sun Apr 23 16:02:42 GMT 2023","Sun Apr 23 16:02:43 GMT 2023","823","test","test_conduit","TestConduit","","","Regisztráció - Helytelen felhasználói adatokkal",""
"passed","Sun Apr 23 16:02:38 GMT 2023","Sun Apr 23 16:02:41 GMT 2023","2383","test","test_conduit","TestConduit","","","Regisztráció - Helyes felhasználói adatokkal",""
"failed","Sun Apr 23 16:03:15 GMT 2023","Sun Apr 23 16:03:20 GMT 2023","5362","test","test_conduit","TestConduit","","","Adatok exportálása",""
"passed","Sun Apr 23 16:03:12 GMT 2023","Sun Apr 23 16:03:14 GMT 2023","2181","test","test_conduit","TestConduit","","","Felhasználónév módosítása",""
"passed","Sun Apr 23 16:02:44 GMT 2023","Sun Apr 23 16:02:44 GMT 2023","802","test","test_conduit","TestConduit","","","Bejelentkezés - Helyes felhasználói adatokkal",""
"passed","Sun Apr 23 16:02:54 GMT 2023","Sun Apr 23 16:02:55 GMT 2023","945","test","test_conduit","TestConduit","","","Posztok listázása",""
"passed","Sun Apr 23 16:02:58 GMT 2023","Sun Apr 23 16:03:02 GMT 2023","3220","test","test_conduit","TestConduit","","","Új poszt közzététele",""
"broken","Sun Apr 23 16:03:05 GMT 2023","Sun Apr 23 16:03:11 GMT 2023","6068","test","test_conduit","TestConduit","","","Komment törlése",""
"passed","Sun Apr 23 16:02:24 GMT 2023","Sun Apr 23 16:02:30 GMT 2023","6146","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elfogadása",""
"passed","Sun Apr 23 16:02:56 GMT 2023","Sun Apr 23 16:02:57 GMT 2023","941","test","test_conduit","TestConduit","","","Több oldalas lista bejárása",""
