"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 23 20:28:33 GMT 2023","Sun Apr 23 20:28:35 GMT 2023","2251","test","test_conduit","TestConduit","","","Felhasználónév módosítása",""
"passed","Sun Apr 23 20:27:19 GMT 2023","Sun Apr 23 20:27:22 GMT 2023","2594","test","test_conduit","TestConduit","","","Regisztráció - Helyes felhasználói adatokkal",""
"passed","Sun Apr 23 20:27:35 GMT 2023","Sun Apr 23 20:27:41 GMT 2023","6543","test","test_conduit","TestConduit","","","Kijelentkezés",""
"passed","Sun Apr 23 20:27:05 GMT 2023","Sun Apr 23 20:27:11 GMT 2023","6188","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elfogadása",""
"passed","Sun Apr 23 20:27:43 GMT 2023","Sun Apr 23 20:27:44 GMT 2023","1113","test","test_conduit","TestConduit","","","Posztok listázása",""
"passed","Sun Apr 23 20:27:48 GMT 2023","Sun Apr 23 20:27:52 GMT 2023","4187","test","test_conduit","TestConduit","","","Új poszt közzététele",""
"broken","Sun Apr 23 20:27:25 GMT 2023","Sun Apr 23 20:27:32 GMT 2023","6663","test","test_conduit","TestConduit","","","Bejelentkezés - Helyes felhasználói adatokkal",""
"passed","Sun Apr 23 20:27:12 GMT 2023","Sun Apr 23 20:27:18 GMT 2023","6177","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elutasítása",""
"passed","Sun Apr 23 20:28:25 GMT 2023","Sun Apr 23 20:28:32 GMT 2023","7341","test","test_conduit","TestConduit","","","Komment törlése",""
"passed","Sun Apr 23 20:27:45 GMT 2023","Sun Apr 23 20:27:47 GMT 2023","1543","test","test_conduit","TestConduit","","","Több oldalas lista bejárása",""
"passed","Sun Apr 23 20:28:36 GMT 2023","Sun Apr 23 20:28:38 GMT 2023","1470","test","test_conduit","TestConduit","","","Adatok exportálása",""
"passed","Sun Apr 23 20:27:53 GMT 2023","Sun Apr 23 20:28:23 GMT 2023","29972","test","test_conduit","TestConduit","","","Kommentelés sorozatos adatbeolvasással",""
"passed","Sun Apr 23 20:27:23 GMT 2023","Sun Apr 23 20:27:24 GMT 2023","919","test","test_conduit","TestConduit","","","Regisztráció - Helytelen felhasználói adatokkal",""
"passed","Sun Apr 23 20:27:33 GMT 2023","Sun Apr 23 20:27:34 GMT 2023","332","test","test_conduit","TestConduit","","","Bejelentkezés - Helytelen felhasználói adatokkal",""
