"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 23 16:10:41 GMT 2023","Sun Apr 23 16:10:43 GMT 2023","2152","test","test_conduit","TestConduit","","","Felhasználónév módosítása",""
"passed","Sun Apr 23 16:10:14 GMT 2023","Sun Apr 23 16:10:15 GMT 2023","773","test","test_conduit","TestConduit","","","Bejelentkezés - Helytelen felhasználói adatokkal",""
"passed","Sun Apr 23 16:10:12 GMT 2023","Sun Apr 23 16:10:13 GMT 2023","784","test","test_conduit","TestConduit","","","Bejelentkezés - Helyes felhasználói adatokkal",""
"failed","Sun Apr 23 16:10:44 GMT 2023","Sun Apr 23 16:10:50 GMT 2023","5366","test","test_conduit","TestConduit","","","Adatok exportálása",""
"passed","Sun Apr 23 16:09:59 GMT 2023","Sun Apr 23 16:10:06 GMT 2023","6145","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elutasítása",""
"broken","Sun Apr 23 16:10:34 GMT 2023","Sun Apr 23 16:10:40 GMT 2023","6040","test","test_conduit","TestConduit","","","Komment törlése",""
"passed","Sun Apr 23 16:09:52 GMT 2023","Sun Apr 23 16:09:58 GMT 2023","6153","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elfogadása",""
"broken","Sun Apr 23 16:10:32 GMT 2023","Sun Apr 23 16:10:33 GMT 2023","853","test","test_conduit","TestConduit","","","Kommentelés sorozatos adatbeolvasással",""
"passed","Sun Apr 23 16:10:23 GMT 2023","Sun Apr 23 16:10:24 GMT 2023","958","test","test_conduit","TestConduit","","","Posztok listázása",""
"passed","Sun Apr 23 16:10:25 GMT 2023","Sun Apr 23 16:10:26 GMT 2023","957","test","test_conduit","TestConduit","","","Több oldalas lista bejárása",""
"passed","Sun Apr 23 16:10:10 GMT 2023","Sun Apr 23 16:10:11 GMT 2023","818","test","test_conduit","TestConduit","","","Regisztráció - Helytelen felhasználói adatokkal",""
"passed","Sun Apr 23 16:10:07 GMT 2023","Sun Apr 23 16:10:09 GMT 2023","2402","test","test_conduit","TestConduit","","","Regisztráció - Helyes felhasználói adatokkal",""
"passed","Sun Apr 23 16:10:28 GMT 2023","Sun Apr 23 16:10:31 GMT 2023","3021","test","test_conduit","TestConduit","","","Új poszt közzététele",""
"passed","Sun Apr 23 16:10:16 GMT 2023","Sun Apr 23 16:10:22 GMT 2023","5955","test","test_conduit","TestConduit","","","Kijelentkezés",""
